01618425101;"с Каркавино"
01618430101;"с Контошино"
01618434101;"с Косиха"
01618440101;"с Лосиха"
01618449101;"с Малахово"
01618460101;"с Налобиха"
01618466101;"с Плотниково"
01618468101;"с Полковниково"
01619405101;"с Берёзовка"
01619407101;"с Быстрянка"
01619423101;"с Красногорское"
01619445101;"с Новозыково"
01619447101;"п Талый"
01619456101;"с Соусканиха"
01619478101;"с Усть-Иша"
01619489101;"с Усть-Кажа"
01620406101;"с Акимовка"
01620412101;"с Берёзовка"
01620417101;"с Верх-Камышенка"
01620424101;"с Карпово Второе"
01620430101;"с Краснощёково"
01620442101;"с Маралиха"
01620448101;"с Новошипуново"
01620459101;"с Суетка"
01620468101;"с Усть-Белое"
01620470101;"с Усть-Козлуха"
01620472101;"с Усть-Пустынка"
01620481101;"с Харлово"
01620492101;"с Чинета"
01621406101;"с Боровое"
01621412101;"с Волчно-Бурлинское"
01621418101;"с Долганка"
01621424101;"с Заковряшино"
01621430101;"с Крутиха"
01621436101;"с Маловолчанка"
01621442101;"с Буян"
01621446101;"п Подборный"
01621448101;"с Прыганка"
01622411101;"с Ананьевка"
01622433101;"с Воздвиженка"
01622444101;"с Златополь"
01622455101;"с Константиновка"
01622460101;"с Кулунда"
01622466101;"с Курск"
01622472101;"п Мирабилит"
01622477101;"п Октябрьский"
01622488101;"с Семёновка"
01623411101;"с Бугрышиха"
01623422101;"с Ивановка"
01623433101;"с Казанцево"
01623438101;"с Колывань"
01623444101;"с Краснознаменка"
01623455101;"с Кузнецово"
01623466101;"с Курья"
01623468101;"с Новофирсово"
01623477101;"с Трусово"
01623488101;"с Усть-Таловка"
01624407101;"с Дмитро-Титово"
01624423101;"с Кытманово"
01624434101;"с Червово"
01624446101;"с Новая Тараба"
01624457101;"п Октябрьский"
01624469101;"с Порошино"
01624480101;"с Семено-Красилово"
01624491101;"с Сунгай"
01624493101;"с Тягун"
01624494101;"с Тяхта"
01625101001;"г Горняк"
01625404101;"с Александровка"
01625409101;"с Вторая Каменка"
01625413101;"с Георгиевка"
01625417101;"с Гилёво"
01625419101;"с Ермошиха"
01625421101;"с Золотуха"
01625426101;"п Кировский"
01625434101;"с Локоть"
